"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"Geography 2","North American Industry Classification System (NAICS) 3","Sex","Age group","Reference period","Labour force 4","Employment 5","Unemployment 6","Unemployment rate 7"
"",,,,,"Persons",,,"Percentage"
,,,,"2012","20.6 (x 1,000)","17.9 (x 1,000)","2.7 (x 1,000)","13.1"
,,,,"2013","21.5 (x 1,000)","18.6 (x 1,000)","2.9 (x 1,000)","13.5"
,,,,"2014","22.3 (x 1,000)","19.8 (x 1,000)","2.6 (x 1,000)","11.7"
,,,,"2015","23.0 (x 1,000)","19.3 (x 1,000)","3.6 (x 1,000)","15.7"
,,,,"2016","23.6 (x 1,000)","20.5 (x 1,000)","3.1 (x 1,000)","13.1"
,,,,"2017","24.3 (x 1,000)","21.1 (x 1,000)","3.2 (x 1,000)","13.2"
,,,,"2018","24.8 (x 1,000)","22.5 (x 1,000)","2.3 (x 1,000)","9.3"
,,,,"2019","24.1 (x 1,000)","22.0 (x 1,000)","2.1 (x 1,000)","8.7"
,,,,"2020","24.6 (x 1,000)","22.1 (x 1,000)","2.6 (x 1,000)","10.6"
,"Services-producing sector 10","Both sexes","15 years and over","2010","383.4 (x 1,000)","361.3 (x 1,000)","22.1 (x 1,000)","5.8"
,,,,"2011","382.2 (x 1,000)","362.8 (x 1,000)","19.4 (x 1,000)","5.1"
,,,,"2012","388.7 (x 1,000)","367.9 (x 1,000)","20.8 (x 1,000)","5.4"
,,,,"2013","380.8 (x 1,000)","362.3 (x 1,000)","18.5 (x 1,000)","4.9"
,,,,"2014","377.4 (x 1,000)","359.0 (x 1,000)","18.5 (x 1,000)","4.9"
,,,,"2015","374.6 (x 1,000)","357.2 (x 1,000)","17.4 (x 1,000)","4.6"
,,,,"2016","373.7 (x 1,000)","357.8 (x 1,000)","15.9 (x 1,000)","4.3"
,,,,"2017","379.3 (x 1,000)","361.4 (x 1,000)","17.8 (x 1,000)","4.7"
,,,,"2018","382.2 (x 1,000)","367.0 (x 1,000)","15.2 (x 1,000)","4.0"
,,,,"2019","392.6 (x 1,000)","375.0 (x 1,000)","17.6 (x 1,000)","4.5"
,,,,"2020","381.5 (x 1,000)","354.9 (x 1,000)","26.6 (x 1,000)","7.0"
,,,"15 to 24 years","2010","64.0 (x 1,000)","57.9 (x 1,000)","6.1 (x 1,000)","9.5"
,,,,"2011","62.5 (x 1,000)","56.7 (x 1,000)","5.8 (x 1,000)","9.3"
,,,,"2012","61.0 (x 1,000)","55.0 (x 1,000)","6.1 (x 1,000)","10.0"
,,,,"2013","59.1 (x 1,000)","53.6 (x 1,000)","5.5 (x 1,000)","9.3"
,,,,"2014","57.4 (x 1,000)","52.3 (x 1,000)","5.0 (x 1,000)","8.7"
,,,,"2015","59.4 (x 1,000)","54.4 (x 1,000)","5.0 (x 1,000)","8.4"
,,,,"2016","54.8 (x 1,000)","50.9 (x 1,000)","4.0 (x 1,000)","7.3"
,,,,"2017","55.8 (x 1,000)","50.2 (x 1,000)","5.7 (x 1,000)","10.2"
,,,,"2018","58.0 (x 1,000)","53.3 (x 1,000)","4.7 (x 1,000)","8.1"
,,,,"2019","62.2 (x 1,000)","57.2 (x 1,000)","5.0 (x 1,000)","8.0"
,,,,"2020","56.3 (x 1,000)","49.8 (x 1,000)","6.5 (x 1,000)","11.5"
,,,"25 to 54 years","2010","249.0 (x 1,000)","235.8 (x 1,000)","13.2 (x 1,000)","5.3"
,,,,"2011","247.6 (x 1,000)","236.8 (x 1,000)","10.7 (x 1,000)","4.3"
,,,,"2012","248.4 (x 1,000)","237.2 (x 1,000)","11.2 (x 1,000)","4.5"
,,,,"2013","242.3 (x 1,000)","232.3 (x 1,000)","10.0 (x 1,000)","4.1"
,,,,"2014","240.9 (x 1,000)","231.1 (x 1,000)","9.8 (x 1,000)","4.1"
,,,,"2015","236.6 (x 1,000)","227.3 (x 1,000)","9.3 (x 1,000)","3.9"
,,,,"2016","233.7 (x 1,000)","225.1 (x 1,000)","8.6 (x 1,000)","3.7"
,,,,"2017","236.3 (x 1,000)","227.5 (x 1,000)","8.8 (x 1,000)","3.7"
,,,,"2018","237.3 (x 1,000)","229.8 (x 1,000)","7.5 (x 1,000)","3.2"
,,,,"2019","239.8 (x 1,000)","230.8 (x 1,000)","9.0 (x 1,000)","3.8"
,,,,"2020","237.9 (x 1,000)","223.4 (x 1,000)","14.5 (x 1,000)","6.1"
,,,"55 years and over","2010","70.3 (x 1,000)","67.5 (x 1,000)","2.8 (x 1,000)","4.0"
,,,,"2011","72.1 (x 1,000)","69.3 (x 1,000)","2.8 (x 1,000)","3.9"
,,,,"2012","79.2 (x 1,000)","75.7 (x 1,000)","3.5 (x 1,000)","4.4"
,,,,"2013","79.4 (x 1,000)","76.5 (x 1,000)","2.9 (x 1,000)","3.7"
,,,,"2014","79.1 (x 1,000)","75.5 (x 1,000)","3.6 (x 1,000)","4.6"
,,,,"2015","78.6 (x 1,000)","75.5 (x 1,000)","3.1 (x 1,000)","3.9"
,,,,"2016","85.1 (x 1,000)","81.8 (x 1,000)","3.3 (x 1,000)","3.9"
,,,,"2017","87.1 (x 1,000)","83.7 (x 1,000)","3.4 (x 1,000)","3.9"
,,,,"2018","86.9 (x 1,000)","84.0 (x 1,000)","2.9 (x 1,000)","3.3"
,,,,"2019","90.6 (x 1,000)","87.0 (x 1,000)","3.6 (x 1,000)","4.0"
,,,,"2020","87.3 (x 1,000)","81.7 (x 1,000)","5.5 (x 1,000)","6.3"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","13.0","..","13.0",".."
,,,,"2011","13.3","..","13.3",".."
,,,,"2012","11.9","..","11.9",".."
,,,,"2013","13.1","..","13.1",".."
,,,,"2014","13.3","..","13.3",".."
,,,,"2015","12.0","..","12.0",".."
,,,,"2016","12.1","..","12.1",".."
,,,,"2017","13.0","..","13.0",".."
,,,,"2018","12.6","..","12.6",".."
,,,,"2019","10.6","..","10.6",".."
,,,,"2020","10.6","..","10.6",".."
,,,"15 to 24 years (x 1,000)","2010","4.7","..","4.7",".."
,,,,"2011","4.9","..","4.9",".."
,,,,"2012","5.0","..","5.0",".."
,,,,"2013","5.9","..","5.9",".."
,,,,"2014","5.1","..","5.1",".."
,,,,"2015","3.9","..","3.9",".."
,,,,"2016","4.2","..","4.2",".."
,,,,"2017","4.7","..","4.7",".."
,,,,"2018","4.8","..","4.8",".."
,,,,"2019","3.8","..","3.8",".."
,,,,"2020","3.5","..","3.5",".."
,,,"25 to 54 years (x 1,000)","2010","6.5","..","6.5",".."
,,,,"2011","6.8","..","6.8",".."
,,,,"2012","5.5","..","5.5",".."
,,,,"2013","5.4","..","5.4",".."
,,,,"2014","6.4","..","6.4",".."
,,,,"2015","6.3","..","6.3",".."
,,,,"2016","5.8","..","5.8",".."
,,,,"2017","6.4","..","6.4",".."
,,,,"2018","5.6","..","5.6",".."
,,,,"2019","4.8","..","4.8",".."
,,,,"2020","4.5","..","4.5",".."
,,,"55 years and over (x 1,000)","2010","1.8","..","1.8",".."
,,,,"2011","1.6","..","1.6",".."
,,,,"2012","1.4","..","1.4",".."
,,,,"2013","1.9","..","1.9",".."
,,,,"2014","1.8","..","1.8",".."
,,,,"2015","1.8","..","1.8",".."
,,,,"2016","2.1","..","2.1",".."
,,,,"2017","1.9","..","1.9",".."
,,,,"2018","2.1","..","2.1",".."
,,,,"2019","2.0","..","2.0",".."
,,,,"2020","2.6","..","2.6",".."
"New Brunswick","Total, all industries 8","Both sexes","15 years and over","2010","394.0 (x 1,000)","357.5 (x 1,000)","36.5 (x 1,000)","9.3"
,,,,"2011","391.9 (x 1,000)","354.5 (x 1,000)","37.4 (x 1,000)","9.5"
,,,,"2012","393.4 (x 1,000)","353.1 (x 1,000)","40.3 (x 1,000)","10.2"
,,,,"2013","395.7 (x 1,000)","354.7 (x 1,000)","41.0 (x 1,000)","10.4"
,,,,"2014","394.2 (x 1,000)","354.5 (x 1,000)","39.8 (x 1,000)","10.1"
,,,,"2015","392.5 (x 1,000)","353.1 (x 1,000)","39.4 (x 1,000)","10.0"
,,,,"2016","391.5 (x 1,000)","353.6 (x 1,000)","37.9 (x 1,000)","9.7"
,,,,"2017","387.9 (x 1,000)","356.3 (x 1,000)","31.7 (x 1,000)","8.2"
,,,,"2018","389.7 (x 1,000)","358.4 (x 1,000)","31.3 (x 1,000)","8.0"
,,,,"2019","393.0 (x 1,000)","361.1 (x 1,000)","31.9 (x 1,000)","8.1"
,,,,"2020","390.7 (x 1,000)","351.6 (x 1,000)","39.1 (x 1,000)","10.0"
,,,"15 to 24 years","2010","57.9 (x 1,000)","48.5 (x 1,000)","9.3 (x 1,000)","16.1"
,,,,"2011","58.2 (x 1,000)","48.3 (x 1,000)","9.9 (x 1,000)","17.0"
,,,,"2012","56.7 (x 1,000)","46.9 (x 1,000)","9.8 (x 1,000)","17.3"
,,,,"2013","55.0 (x 1,000)","45.6 (x 1,000)","9.4 (x 1,000)","17.1"
,,,,"2014","55.0 (x 1,000)","45.4 (x 1,000)","9.6 (x 1,000)","17.5"
,,,,"2015","53.5 (x 1,000)","44.2 (x 1,000)","9.4 (x 1,000)","17.6"
,,,,"2016","52.5 (x 1,000)","44.6 (x 1,000)","7.9 (x 1,000)","15.0"
,,,,"2017","51.5 (x 1,000)","44.6 (x 1,000)","6.9 (x 1,000)","13.4"
,,,,"2018","54.5 (x 1,000)","47.7 (x 1,000)","6.8 (x 1,000)","12.5"
,,,,"2019","54.9 (x 1,000)","47.8 (x 1,000)","7.1 (x 1,000)","12.9"
,,,,"2020","53.5 (x 1,000)","44.0 (x 1,000)","9.5 (x 1,000)","17.8"
,,,"25 to 54 years","2010","263.8 (x 1,000)","243.7 (x 1,000)","20.1 (x 1,000)","7.6"
,,,,"2011","260.3 (x 1,000)","240.1 (x 1,000)","20.2 (x 1,000)","7.8"
,,,,"2012","259.4 (x 1,000)","236.7 (x 1,000)","22.7 (x 1,000)","8.8"
,,,,"2013","259.0 (x 1,000)","235.5 (x 1,000)","23.4 (x 1,000)","9.0"
,,,,"2014","252.9 (x 1,000)","231.7 (x 1,000)","21.2 (x 1,000)","8.4"
,,,,"2015","250.9 (x 1,000)","230.2 (x 1,000)","20.7 (x 1,000)","8.3"
,,,,"2016","248.6 (x 1,000)","229.0 (x 1,000)","19.6 (x 1,000)","7.9"
,,,,"2017","243.6 (x 1,000)","227.4 (x 1,000)","16.2 (x 1,000)","6.7"
,,,,"2018","243.3 (x 1,000)","226.8 (x 1,000)","16.5 (x 1,000)","6.8"
,,,,"2019","242.0 (x 1,000)","226.2 (x 1,000)","15.8 (x 1,000)","6.5"
,,,,"2020","240.5 (x 1,000)","221.3 (x 1,000)","19.2 (x 1,000)","8.0"
,,,"55 years and over","2010","72.3 (x 1,000)","65.2 (x 1,000)","7.1 (x 1,000)","9.8"
,,,,"2011","73.4 (x 1,000)","66.2 (x 1,000)","7.3 (x 1,000)","9.9"
,,,,"2012","77.2 (x 1,000)","69.5 (x 1,000)","7.8 (x 1,000)","10.1"
,,,,"2013","81.8 (x 1,000)","73.7 (x 1,000)","8.1 (x 1,000)","9.9"
,,,,"2014","86.3 (x 1,000)","77.4 (x 1,000)","8.9 (x 1,000)","10.3"
,,,,"2015","88.1 (x 1,000)","78.8 (x 1,000)","9.3 (x 1,000)","10.6"
,,,,"2016","90.5 (x 1,000)","80.1 (x 1,000)","10.4 (x 1,000)","11.5"
,,,,"2017","92.9 (x 1,000)","84.3 (x 1,000)","8.6 (x 1,000)","9.3"
,,,,"2018","92.0 (x 1,000)","83.9 (x 1,000)","8.1 (x 1,000)","8.8"
,,,,"2019","96.1 (x 1,000)","87.1 (x 1,000)","9.0 (x 1,000)","9.4"
,,,,"2020","96.8 (x 1,000)","86.4 (x 1,000)","10.4 (x 1,000)","10.7"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","94.2 (x 1,000)","81.1 (x 1,000)","13.1 (x 1,000)","13.9"
,,,,"2011","93.8 (x 1,000)","81.3 (x 1,000)","12.5 (x 1,000)","13.3"
,,,,"2012","89.3 (x 1,000)","76.2 (x 1,000)","13.1 (x 1,000)","14.7"
,,,,"2013","93.9 (x 1,000)","78.2 (x 1,000)","15.7 (x 1,000)","16.7"
,,,,"2014","90.5 (x 1,000)","77.1 (x 1,000)","13.4 (x 1,000)","14.8"
,,,,"2015","87.9 (x 1,000)","73.8 (x 1,000)","14.2 (x 1,000)","16.2"
,,,,"2016","87.8 (x 1,000)","73.8 (x 1,000)","13.9 (x 1,000)","15.8"
,,,,"2017","85.0 (x 1,000)","74.2 (x 1,000)","10.8 (x 1,000)","12.7"
,,,,"2018","85.9 (x 1,000)","75.0 (x 1,000)","11.0 (x 1,000)","12.8"
,,,,"2019","87.4 (x 1,000)","76.2 (x 1,000)","11.3 (x 1,000)","12.9"
,,,,"2020","84.7 (x 1,000)","72.2 (x 1,000)","12.5 (x 1,000)","14.8"
,,,"15 to 24 years","2010","10.2 (x 1,000)","8.3 (x 1,000)","2.0 (x 1,000)","19.6"
,,,,"2011","10.9 (x 1,000)","8.9 (x 1,000)","1.9 (x 1,000)","17.4"
,,,,"2012","9.1 (x 1,000)","7.2 (x 1,000)","1.9 (x 1,000)","20.9"
,,,,"2013","9.5 (x 1,000)","7.6 (x 1,000)","1.9 (x 1,000)","20.0"
,,,,"2014","8.6 (x 1,000)","6.8 (x 1,000)","1.8 (x 1,000)","20.9"
,,,,"2015","8.1 (x 1,000)","6.1 (x 1,000)","2.0 (x 1,000)","24.7"
,,,,"2016","8.8 (x 1,000)","7.2 (x 1,000)","1.6 (x 1,000)","18.2"
,,,,"2017","7.9 (x 1,000)","6.6 (x 1,000)","1.3 (x 1,000)","16.5"
,,,,"2018","8.3 (x 1,000)","7.1 (x 1,000)","1.2 (x 1,000)","14.5"
,,,,"2019","8.4 (x 1,000)","7.4 (x 1,000)","1.0 (x 1,000)","11.9"
,,,,"2020","8.6 (x 1,000)","6.7 (x 1,000)","1.9 (x 1,000)","22.1"
,,,"25 to 54 years","2010","64.6 (x 1,000)","56.6 (x 1,000)","8.1 (x 1,000)","12.5"
,,,,"2011","64.2 (x 1,000)","56.3 (x 1,000)","7.9 (x 1,000)","12.3"
,,,,"2012","61.2 (x 1,000)","53.1 (x 1,000)","8.1 (x 1,000)","13.2"
,,,,"2013","62.7 (x 1,000)","52.8 (x 1,000)","9.9 (x 1,000)","15.8"
,,,,"2014","59.1 (x 1,000)","51.2 (x 1,000)","7.8 (x 1,000)","13.2"
,,,,"2015","57.0 (x 1,000)","49.3 (x 1,000)","7.7 (x 1,000)","13.5"
,,,,"2016","56.3 (x 1,000)","48.3 (x 1,000)","7.9 (x 1,000)","14.0"
,,,,"2017","54.7 (x 1,000)","48.7 (x 1,000)","6.1 (x 1,000)","11.2"
,,,,"2018","54.4 (x 1,000)","48.4 (x 1,000)","6.0 (x 1,000)","11.0"
,,,,"2019","55.6 (x 1,000)","49.2 (x 1,000)","6.4 (x 1,000)","11.5"
,,,,"2020","51.2 (x 1,000)","44.9 (x 1,000)","6.3 (x 1,000)","12.3"
,,,"55 years and over","2010","19.3 (x 1,000)","16.2 (x 1,000)","3.1 (x 1,000)","16.1"
,,,,"2011","18.7 (x 1,000)","16.1 (x 1,000)","2.7 (x 1,000)","14.4"
,,,,"2012","19.0 (x 1,000)","15.8 (x 1,000)","3.2 (x 1,000)","16.8"
,,,,"2013","21.7 (x 1,000)","17.8 (x 1,000)","3.9 (x 1,000)","18.0"
,,,,"2014","22.7 (x 1,000)","19.0 (x 1,000)","3.7 (x 1,000)","16.3"
,,,,"2015","22.8 (x 1,000)","18.3 (x 1,000)","4.4 (x 1,000)","19.3"
,,,,"2016","22.7 (x 1,000)","18.3 (x 1,000)","4.4 (x 1,000)","19.4"
,,,,"2017","22.4 (x 1,000)","19.0 (x 1,000)","3.4 (x 1,000)","15.2"
,,,,"2018","23.2 (x 1,000)","19.4 (x 1,000)","3.8 (x 1,000)","16.4"
,,,,"2019","23.5 (x 1,000)","19.6 (x 1,000)","3.8 (x 1,000)","16.2"
,,,,"2020","25.0 (x 1,000)","20.6 (x 1,000)","4.3 (x 1,000)","17.2"
,"Services-producing sector 10","Both sexes","15 years and over","2010","292.4 (x 1,000)","276.4 (x 1,000)","16.0 (x 1,000)","5.5"
,,,,"2011","289.3 (x 1,000)","273.3 (x 1,000)","16.1 (x 1,000)","5.6"
,,,,"2012","294.3 (x 1,000)","276.9 (x 1,000)","17.4 (x 1,000)","5.9"
,,,,"2013","291.8 (x 1,000)","276.5 (x 1,000)","15.3 (x 1,000)","5.2"
,,,,"2014","293.3 (x 1,000)","277.4 (x 1,000)","15.9 (x 1,000)","5.4"
,,,,"2015","294.9 (x 1,000)","279.4 (x 1,000)","15.5 (x 1,000)","5.3"
,,,,"2016","294.4 (x 1,000)","279.8 (x 1,000)","14.6 (x 1,000)","5.0"
,,,,"2017","295.2 (x 1,000)","282.1 (x 1,000)","13.1 (x 1,000)","4.4"
,,,,"2018","295.9 (x 1,000)","283.4 (x 1,000)","12.6 (x 1,000)","4.3"
,,,,"2019","297.7 (x 1,000)","285.0 (x 1,000)","12.7 (x 1,000)","4.3"
,,,,"2020","297.9 (x 1,000)","279.4 (x 1,000)","18.5 (x 1,000)","6.2"
,,,"15 to 24 years","2010","45.1 (x 1,000)","40.3 (x 1,000)","4.8 (x 1,000)","10.6"
,,,,"2011","44.0 (x 1,000)","39.4 (x 1,000)","4.7 (x 1,000)","10.7"
,,,,"2012","44.0 (x 1,000)","39.7 (x 1,000)","4.2 (x 1,000)","9.5"
,,,,"2013","42.1 (x 1,000)","38.0 (x 1,000)","4.1 (x 1,000)","9.7"
,,,,"2014","42.7 (x 1,000)","38.5 (x 1,000)","4.2 (x 1,000)","9.8"
,,,,"2015","42.2 (x 1,000)","38.1 (x 1,000)","4.1 (x 1,000)","9.7"
,,,,"2016","40.8 (x 1,000)","37.4 (x 1,000)","3.4 (x 1,000)","8.3"
,,,,"2017","41.1 (x 1,000)","38.0 (x 1,000)","3.1 (x 1,000)","7.5"
,,,,"2018","43.8 (x 1,000)","40.5 (x 1,000)","3.3 (x 1,000)","7.5"
,,,,"2019","43.8 (x 1,000)","40.4 (x 1,000)","3.4 (x 1,000)","7.8"
,,,,"2020","42.5 (x 1,000)","37.3 (x 1,000)","5.2 (x 1,000)","12.2"
,,,"25 to 54 years","2010","195.5 (x 1,000)","187.2 (x 1,000)","8.4 (x 1,000)","4.3"
,,,,"2011","192.0 (x 1,000)","183.8 (x 1,000)","8.3 (x 1,000)","4.3"
,,,,"2012","193.4 (x 1,000)","183.6 (x 1,000)","9.8 (x 1,000)","5.1"
,,,,"2013","191.2 (x 1,000)","182.7 (x 1,000)","8.6 (x 1,000)","4.5"
,,,,"2014","188.7 (x 1,000)","180.5 (x 1,000)","8.2 (x 1,000)","4.3"
,,,,"2015","189.0 (x 1,000)","180.9 (x 1,000)","8.2 (x 1,000)","4.3"
,,,,"2016","187.9 (x 1,000)","180.6 (x 1,000)","7.2 (x 1,000)","3.8"
,,,,"2017","185.3 (x 1,000)","178.7 (x 1,000)","6.6 (x 1,000)","3.6"
,,,,"2018","184.8 (x 1,000)","178.4 (x 1,000)","6.4 (x 1,000)","3.5"
,,,,"2019","183.0 (x 1,000)","177.0 (x 1,000)","6.0 (x 1,000)","3.3"
,,,,"2020","185.4 (x 1,000)","176.4 (x 1,000)","9.0 (x 1,000)","4.9"
,,,"55 years and over","2010","51.7 (x 1,000)","49.0 (x 1,000)","2.8 (x 1,000)","5.4"
,,,,"2011","53.3 (x 1,000)","50.1 (x 1,000)","3.2 (x 1,000)","6.0"
,,,,"2012","57.0 (x 1,000)","53.6 (x 1,000)","3.3 (x 1,000)","5.8"
,,,,"2013","58.5 (x 1,000)","55.8 (x 1,000)","2.6 (x 1,000)","4.4"
,,,,"2014","61.9 (x 1,000)","58.4 (x 1,000)","3.5 (x 1,000)","5.7"
,,,,"2015","63.6 (x 1,000)","60.4 (x 1,000)","3.2 (x 1,000)","5.0"
,,,,"2016","65.8 (x 1,000)","61.8 (x 1,000)","4.0 (x 1,000)","6.1"
,,,,"2017","68.7 (x 1,000)","65.3 (x 1,000)","3.4 (x 1,000)","4.9"
,,,,"2018","67.4 (x 1,000)","64.5 (x 1,000)","2.9 (x 1,000)","4.3"
,,,,"2019","70.8 (x 1,000)","67.5 (x 1,000)","3.3 (x 1,000)","4.7"
,,,,"2020","70.1 (x 1,000)","65.7 (x 1,000)","4.4 (x 1,000)","6.3"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","7.4","..","7.4",".."
,,,,"2011","8.8","..","8.8",".."
,,,,"2012","9.8","..","9.8",".."
,,,,"2013","10.0","..","10.0",".."
,,,,"2014","10.5","..","10.5",".."
,,,,"2015","9.7","..","9.7",".."
,,,,"2016","9.4","..","9.4",".."
,,,,"2017","7.8","..","7.8",".."
,,,,"2018","7.8","..","7.8",".."
,,,,"2019","7.8","..","7.8",".."
,,,,"2020","8.1","..","8.1",".."
,,,"15 to 24 years (x 1,000)","2010","2.5","..","2.5",".."
,,,,"2011","3.3","..","3.3",".."
,,,,"2012","3.6","..","3.6",".."
,,,,"2013","3.4","..","3.4",".."
,,,,"2014","3.6","..","3.6",".."
,,,,"2015","3.2","..","3.2",".."
,,,,"2016","2.9","..","2.9",".."
,,,,"2017","2.5","..","2.5",".."
,,,,"2018","2.3","..","2.3",".."
,,,,"2019","2.6","..","2.6",".."
,,,,"2020","2.5","..","2.5",".."
,,,"25 to 54 years (x 1,000)","2010","3.7","..","3.7",".."
,,,,"2011","4.1","..","4.1",".."
,,,,"2012","4.9","..","4.9",".."
,,,,"2013","5.0","..","5.0",".."
,,,,"2014","5.2","..","5.2",".."
,,,,"2015","4.8","..","4.8",".."
,,,,"2016","4.4","..","4.4",".."
,,,,"2017","3.6","..","3.6",".."
,,,,"2018","4.1","..","4.1",".."
,,,,"2019","3.4","..","3.4",".."
,,,,"2020","3.9","..","3.9",".."
,,,"55 years and over (x 1,000)","2010","1.3","..","1.3",".."
,,,,"2011","1.4","..","1.4",".."
,,,,"2012","1.3","..","1.3",".."
,,,,"2013","1.6","..","1.6",".."
,,,,"2014","1.7","..","1.7",".."
,,,,"2015","1.7","..","1.7",".."
,,,,"2016","2.0","..","2.0",".."
,,,,"2017","1.8","..","1.8",".."
,,,,"2018","1.4","..","1.4",".."
,,,,"2019","1.8","..","1.8",".."
,,,,"2020","1.7","..","1.7",".."
"Quebec","Total, all industries 8","Both sexes","15 years and over","2010","4,266.0 (x 1,000)","3,920.1 (x 1,000)","345.9 (x 1,000)","8.1"
,,,,"2011","4,302.8 (x 1,000)","3,963.5 (x 1,000)","339.3 (x 1,000)","7.9"
,,,,"2012","4,321.1 (x 1,000)","3,983.9 (x 1,000)","337.2 (x 1,000)","7.8"
,,,,"2013","4,360.0 (x 1,000)","4,026.4 (x 1,000)","333.6 (x 1,000)","7.7"
,,,,"2014","4,343.3 (x 1,000)","4,005.0 (x 1,000)","338.3 (x 1,000)","7.8"
,,,,"2015","4,368.7 (x 1,000)","4,034.6 (x 1,000)","334.1 (x 1,000)","7.6"
,,,,"2016","4,370.0 (x 1,000)","4,056.7 (x 1,000)","313.3 (x 1,000)","7.2"
,,,,"2017","4,428.3 (x 1,000)","4,158.6 (x 1,000)","269.7 (x 1,000)","6.1"
,,,,"2018","4,467.2 (x 1,000)","4,221.7 (x 1,000)","245.5 (x 1,000)","5.5"
,,,,"2019","4,541.2 (x 1,000)","4,308.1 (x 1,000)","233.1 (x 1,000)","5.1"
,,,,"2020","4,497.8 (x 1,000)","4,099.6 (x 1,000)","398.1 (x 1,000)","8.9"
,,,"15 to 24 years","2010","682.2 (x 1,000)","588.8 (x 1,000)","93.3 (x 1,000)","13.7"
,,,,"2011","676.1 (x 1,000)","587.2 (x 1,000)","88.9 (x 1,000)","13.1"
,,,,"2012","671.5 (x 1,000)","580.8 (x 1,000)","90.7 (x 1,000)","13.5"
,,,,"2013","666.8 (x 1,000)","581.7 (x 1,000)","85.0 (x 1,000)","12.7"
,,,,"2014","658.1 (x 1,000)","573.0 (x 1,000)","85.2 (x 1,000)","12.9"
,,,,"2015","651.4 (x 1,000)","569.3 (x 1,000)","82.1 (x 1,000)","12.6"
,,,,"2016","633.6 (x 1,000)","555.5 (x 1,000)","78.1 (x 1,000)","12.3"
,,,,"2017","623.2 (x 1,000)","561.0 (x 1,000)","62.1 (x 1,000)","10.0"
,,,,"2018","623.2 (x 1,000)","564.9 (x 1,000)","58.3 (x 1,000)","9.4"
,,,,"2019","642.1 (x 1,000)","587.3 (x 1,000)","54.8 (x 1,000)","8.5"
,,,,"2020","625.7 (x 1,000)","518.1 (x 1,000)","107.5 (x 1,000)","17.2"
,,,"25 to 54 years","2010","2,914.9 (x 1,000)","2,711.4 (x 1,000)","203.6 (x 1,000)","7.0"
,,,,"2011","2,919.2 (x 1,000)","2,723.7 (x 1,000)","195.5 (x 1,000)","6.7"
,,,,"2012","2,923.7 (x 1,000)","2,727.6 (x 1,000)","196.1 (x 1,000)","6.7"
,,,,"2013","2,902.2 (x 1,000)","2,714.4 (x 1,000)","187.8 (x 1,000)","6.5"
,,,,"2014","2,865.3 (x 1,000)","2,671.5 (x 1,000)","193.8 (x 1,000)","6.8"
,,,,"2015","2,870.9 (x 1,000)","2,681.3 (x 1,000)","189.6 (x 1,000)","6.6"
,,,,"2016","2,867.3 (x 1,000)","2,690.1 (x 1,000)","177.2 (x 1,000)","6.2"
,,,,"2017","2,895.8 (x 1,000)","2,740.4 (x 1,000)","155.4 (x 1,000)","5.4"
,,,,"2018","2,901.3 (x 1,000)","2,765.6 (x 1,000)","135.7 (x 1,000)","4.7"
,,,,"2019","2,927.1 (x 1,000)","2,799.3 (x 1,000)","127.8 (x 1,000)","4.4"
,,,,"2020","2,910.5 (x 1,000)","2,699.3 (x 1,000)","211.2 (x 1,000)","7.3"
,,,"55 years and over","2010","668.9 (x 1,000)","619.9 (x 1,000)","49.0 (x 1,000)","7.3"
,,,,"2011","707.5 (x 1,000)","652.7 (x 1,000)","54.9 (x 1,000)","7.8"
,,,,"2012","725.9 (x 1,000)","675.5 (x 1,000)","50.4 (x 1,000)","6.9"
,,,,"2013","791.0 (x 1,000)","730.3 (x 1,000)","60.8 (x 1,000)","7.7"
,,,,"2014","819.8 (x 1,000)","760.5 (x 1,000)","59.3 (x 1,000)","7.2"
,,,,"2015","846.5 (x 1,000)","784.0 (x 1,000)","62.5 (x 1,000)","7.4"
,,,,"2016","869.1 (x 1,000)","811.0 (x 1,000)","58.0 (x 1,000)","6.7"
,,,,"2017","909.4 (x 1,000)","857.2 (x 1,000)","52.2 (x 1,000)","5.7"
,,,,"2018","942.7 (x 1,000)","891.3 (x 1,000)","51.5 (x 1,000)","5.5"
,,,,"2019","972.0 (x 1,000)","921.4 (x 1,000)","50.6 (x 1,000)","5.2"
,,,,"2020","961.6 (x 1,000)","882.2 (x 1,000)","79.4 (x 1,000)","8.3"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","932.0 (x 1,000)","861.2 (x 1,000)","70.8 (x 1,000)","7.6"
,,,,"2011","940.3 (x 1,000)","872.5 (x 1,000)","67.8 (x 1,000)","7.2"
,,,,"2012","938.0 (x 1,000)","870.4 (x 1,000)","67.5 (x 1,000)","7.2"
,,,,"2013","949.6 (x 1,000)","881.8 (x 1,000)","67.8 (x 1,000)","7.1"
,,,,"2014","920.7 (x 1,000)","850.6 (x 1,000)","70.2 (x 1,000)","7.6"
,,,,"2015","892.1 (x 1,000)","824.9 (x 1,000)","67.2 (x 1,000)","7.5"
