Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
Manitoba,2014,62853.0,64305.0,64305.0,59499.7,58276.3,125.3,181.1,1317.5,1246.1999999999998,71.3,0.24497548191582297,1279014.0,49141.76076258743,50277.010259465496,50277.010259465496,46519.97554366098,45563.457475836854
Manitoba,2015,63628.0,65943.0,65943.0,60958.6,59082.5,126.8,149.7,1341.0,1265.4,75.6,0.2542531702653297,1292227.0,49239.0268892385,51030.50779777856,51030.50779777856,47173.290760833814,45721.456059964694
Manitoba,2016,64549.0,67298.0,67298.0,62289.7,59966.8,128.4,140.4,1344.6000000000001,1261.7,82.8,0.2817673493802023,1314139.0,49118.852724103,51210.71667456791,51210.71667456791,47399.62819762597,45632.006964255685
Manitoba,2017,66670.0,71285.0,71285.0,66007.1,61965.3,130.5,149.3,1356.8,1283.6,73.2,0.24872909324053416,1334790.0,49947.93188441628,53405.40459547944,53405.40459547944,49451.29945534503,46423.25759108175
Manitoba,2018,67670.0,73086.0,73086.0,0.0,62970.5,133.8,173.6,1381.1,1298.0,83.0,0.2693660835612815,1352825.0,50021.25182488496,54024.72603625747,54024.72603625747,0.0,46547.4100493412
Manitoba,2019,68060.0,73814.0,73814.0,0.0,63279.0,136.8,167.8,1384.8000000000002,1310.8,74.10000000000001,0.24553487733580232,1369540.0,49695.51820319231,53896.92889583364,53896.92889583364,0.0,46204.5650364356
Saskatchewan,2010,72851.0,63402.0,63402.0,59948.6,68913.4,118.7,141.6,1120.4,1061.4,59.0,0.22881003434955932,1051443.0,69286.685060436,60299.98773114662,60299.98773114662,57015.54910727448,65541.73645171445
Saskatchewan,2011,76697.0,74856.0,74856.0,71287.5,72611.6,122.0,168.7,1126.1000000000001,1070.0,56.00000000000001,0.22431315842405405,1066026.0,71946.65045693069,70219.67569271293,70219.67569271293,66872.19636294049,68114.28614311472
Saskatchewan,2012,78007.0,78006.0,78006.0,73952.2,73952.2,123.9,170.3,1148.0,1093.2,54.99999999999999,0.2144050242429299,1083755.0,71978.44531282439,71977.52259505147,71977.52259505147,68237.00928715439,68237.00928715439
Saskatchewan,2013,83111.0,83209.0,83209.0,78937.4,78708.5,125.7,167.9,1169.3,1121.3000000000002,48.0,0.18064106984006442,1099736.0,75573.59220758436,75662.70450362632,75662.70450362632,71778.49956716885,71570.35870427084
Saskatchewan,2014,84786.0,82905.0,82905.0,78506.4,80175.7,128.7,169.5,1172.8999999999999,1127.2,45.6,0.17533383792858237,1112979.0,76179.33492006587,74489.27607798531,74489.27607798531,70537.17994679144,72037.02855130241
Saskatchewan,2015,84072.0,79680.0,79680.0,75306.2,79574.2,130.8,140.7,1185.9,1125.4,60.6,0.2275016640362891,1120967.0,74999.53165436628,71081.48589565973,71081.48589565973,67179.67611892232,70987.10309937758
Saskatchewan,2016,84006.0,75694.0,75694.0,71463.8,79317.5,132.2,128.2,1191.6,1115.6,75.8,0.283916672841398,1135987.0,73949.78991837054,66632.80477681523,66632.80477681523,62908.994557156024,69822.54198331495
Saskatchewan,2017,86180.0,80257.0,80257.0,75302.1,81121.1,134.4,138.2,1190.9,1115.2,75.7,0.28510126453949486,1150331.0,74917.56720456982,69768.61442489161,69768.61442489161,65461.2455023815,70519.78952145079
Saskatchewan,2018,87232.0,82847.0,82847.0,0.0,82091.9,137.5,161.8,1194.8,1120.6,74.4,0.2811908646100816,1161767.0,75085.62388155283,71311.20095509685,71311.20095509685,0.0,70661.24274488773
